Date,BSET100,VNM
25/10/2018,10.58,14.849888
26/10/2018,10.46,14.575434
29/10/2018,10.51,14.202962
30/10/2018,10.53,14.438208
31/10/2018,10.75,14.879293
1/11/2018,10.74,14.977312
2/11/2018,10.84,14.95771
5/11/2018,10.75,15.16355
6/11/2018,10.75,15.143945
7/11/2018,10.8,15.37919
8/11/2018,10.85,15.281172
9/11/2018,10.75,14.987115
12/11/2018,10.66,14.889096
13/11/2018,10.7,14.840087
14/11/2018,10.48,14.81068
15/11/2018,10.42,14.928304
16/11/2018,10.38,14.889096
19/11/2018,10.39,14.693058
20/11/2018,10.25,14.663651
21/11/2018,10.28,15.036124
22/11/2018,10.19,NA
23/11/2018,10.31,14.918502
26/11/2018,10.37,15.261567
27/11/2018,10.4,15.281172
28/11/2018,10.44,15.643842
29/11/2018,10.42,15.487013
30/11/2018,10.46,15.388992
3/12/2018,10.69,15.643842
4/12/2018,10.7,15.388992
6/12/2018,10.56,15.526219
7/12/2018,10.51,15.261567
11/12/2018,10.41,15.27137
12/12/2018,10.42,15.526219
13/12/2018,10.29,15.457606
14/12/2018,10.25,15.241964
17/12/2018,10.22,14.938104
18/12/2018,10.1,14.95771
19/12/2018,10.22,14.634247
20/12/2018,10.19,14.77458
21/12/2018,10.19,14.458334
24/12/2018,10.16,14.389156
25/12/2018,9.92,NA
26/12/2018,9.92,14.754815
27/12/2018,10,14.725166
28/12/2018,9.96,14.675753
2/1/2019,9.98,14.725166
3/1/2019,10,14.310094
4/1/2019,10.05,14.735049
7/1/2019,10.17,14.863523
8/1/2019,10.18,14.784462
9/1/2019,10.15,14.972233
10/1/2019,10.13,15.11059
11/1/2019,10.18,15.120473
14/1/2019,10.09,15.051294
15/1/2019,10.04,15.179768
16/1/2019,10.05,15.189651
17/1/2019,10.07,15.209417
18/1/2019,10.09,15.288479
21/1/2019,10.13,NA
22/1/2019,10.22,15.071059
23/1/2019,10.32,15.347774
24/1/2019,10.33,15.288479
25/1/2019,10.35,15.624488
28/1/2019,10.36,15.70355
29/1/2019,10.35,15.565192
30/1/2019,10.4,15.762846
31/1/2019,10.47,15.654137
1/2/2019,10.52,15.40707
4/2/2019,10.54,15.496014
5/2/2019,10.53,15.525662
6/2/2019,10.57,15.515779
7/2/2019,10.52,15.219298
8/2/2019,10.53,15.308243
11/2/2019,10.43,15.476248
12/2/2019,10.47,15.822142
